Policy ID,Lapse,Lapse Year,Customer Info Exist ,Has Payment History,Policy Info Exist
PID_9TAGRB0,1,2019,1,0,1
PID_JHUHJ2U,1,2019,1,1,1
PID_8JG303I,1,2019,1,1,1
PID_VPRO0EG,?,?,0,1,1
PID_O58E151,?,?,1,0,1
PID_D261C0D,1,2019,1,1,1
PID_8AUC32L,1,2017,0,1,1
PID_FLEBYPG,?,?,0,1,1
PID_KNOH81G,?,?,1,1,1
PID_BEFJS7O,?,?,0,1,1
PID_GZW05D9,1,2018,0,1,1
PID_79WZB2K,?,?,1,0,1
PID_LIB1X56,1,2017,0,1,1
PID_N36PCSD,?,?,1,1,1
PID_UBYSVIO,?,?,1,0,1
PID_HOFXPQ8,?,?,0,1,1
PID_M019UA0,1,2019,0,1,1
PID_XN819GU,1,2019,1,1,1
PID_5OEV0SY,1,2019,1,0,1
PID_PI7ID6Q,?,?,1,0,1
PID_KQBMDA4,1,2018,0,1,1
PID_UI1C72T,1,2019,0,1,1
PID_NWQYVAA,?,?,1,0,1
PID_AX499P4,?,?,1,0,1
PID_6H5ONCW,?,?,1,1,1
PID_LKGQES2,?,?,1,0,1
PID_Z81X6ST,?,?,1,0,1
PID_WKTJFP1,?,?,1,1,1
PID_41FXXPR,1,2019,0,1,1
PID_F48C0D8,1,2019,1,1,1
PID_FSX5KJX,?,?,1,1,1
PID_1RTUWOG,1,2018,0,1,1
PID_WW3I10Q,?,?,0,1,1
PID_J6KC0ML,1,2019,1,1,1
PID_0SD10FH,?,?,1,0,1
PID_0SMWG8V,1,2017,0,1,1
PID_K8RA5S0,1,2018,0,1,1
PID_TCOLL6G,?,?,1,0,1
PID_7BF3HIV,?,?,0,1,1
PID_3VMIBAZ,?,?,1,1,1
PID_QYYW7RG,?,?,1,0,1
PID_4FVCTCS,?,?,0,1,1
PID_YM29L7A,1,2019,0,1,1
PID_HFLXZWO,1,2019,1,0,1
PID_A685PJE,?,?,0,1,1
PID_FXCXYZ9,?,?,0,1,1
PID_XNWBUFS,?,?,1,0,1
PID_C4P6SXO,1,2019,0,1,1
PID_RCW3UBM,?,?,1,0,1
PID_SSNTIV1,1,2019,1,0,1
PID_DJYDJN5,1,2018,0,1,1
PID_K9JM893,?,?,1,0,1
PID_60C6II5,1,2017,0,1,1
PID_2TL93OK,?,?,1,0,1
PID_6LW2YM3,1,2019,0,1,1
PID_78JZ9CA,1,2019,1,1,1
PID_DRR9DGN,1,2019,1,0,1
PID_XMMPRF1,1,2019,1,1,1
PID_WPW5V0O,1,2018,0,1,1
PID_0EQ8PKD,?,?,1,0,1
PID_P9POQM5,1,2019,1,0,1
PID_6S8S51W,1,2018,0,1,1
PID_53PIGZC,?,?,1,0,1
PID_RZ0OA6X,?,?,1,0,1
PID_4O9HKNB,?,?,1,0,1
PID_1A52C4V,?,?,0,1,1
PID_V6DS8XT,1,2018,0,1,1
PID_MXG69X3,?,?,1,1,1
PID_QX0L1VY,1,2019,0,1,1
PID_4O1WXLE,?,?,1,0,1
PID_BJBO32Q,1,2018,0,1,1
PID_KKS53XA,?,?,0,1,1
PID_J3F7YO2,?,?,0,1,1
PID_TQ4ZMUS,?,?,1,1,1
PID_U79WKR6,1,2019,1,0,1
PID_E91NYGV,1,2018,0,1,1
PID_9PP1BAU,?,?,1,0,1
PID_SGELJXX,?,?,1,0,1
PID_M6AFHO0,?,?,1,0,1
PID_4W1DXPO,1,2019,1,0,1
PID_TJ7CGW2,?,?,0,1,1
PID_PJ6ZR23,?,?,1,0,1
PID_LA7R6O5,?,?,1,0,1
PID_G8QG358,?,?,1,1,1
PID_WWGNCOH,?,?,1,1,1
PID_2O1TQEZ,?,?,0,1,1
PID_YO6740Z,?,?,0,1,1
PID_E3BFD18,?,?,1,0,1
PID_KO3D0DI,1,2019,1,1,1
PID_9A0C6YA,1,2019,0,1,1
PID_E2MXT04,1,2019,1,1,1
PID_MK7NYMP,?,?,0,1,1
PID_97YMEHK,?,?,1,0,1
PID_0DJICG9,1,2018,0,1,1
PID_L9HMSTN,1,2018,0,1,1
PID_3URC4OV,?,?,1,0,1
PID_A5X9VTJ,?,?,0,1,1
PID_22TV4UJ,?,?,1,0,1
PID_GV3P2QG,?,?,0,1,1
PID_KGSCZ62,?,?,1,0,1
PID_6YPPUC0,?,?,0,1,1
PID_IGNPUXK,?,?,0,1,1
PID_B8PO4OY,1,2019,1,1,1
PID_VKGAQ1U,?,?,1,0,1
PID_VXBPC9Q,1,2019,0,1,1
PID_CQETPGF,?,?,1,1,1
PID_JPBIS70,?,?,0,1,1
PID_B32SU2K,1,2018,0,1,1
PID_9JGZ6SL,1,2018,0,1,1
PID_NUFAIBW,?,?,0,1,1
PID_E8TOAIV,1,2019,0,1,1
PID_8B41FJN,1,2019,1,1,1
PID_TUFASEO,1,2019,0,1,1
PID_2G98827,?,?,1,0,1
PID_GP17WPH,1,2018,0,1,1
PID_7OZD79V,?,?,0,1,1
PID_GH3NAVY,1,2018,0,1,1
PID_NISPVI7,1,2019,1,1,1
PID_D3KTYUY,?,?,1,1,1
PID_766QUWB,?,?,1,1,1
PID_JOQUFUT,?,?,1,0,1
PID_JNOHNRF,1,2018,0,1,1
PID_KW67HLG,?,?,1,1,1
PID_WSO141D,1,2018,0,1,1
PID_44CFWCD,?,?,1,0,1
PID_E9RGP8Y,?,?,1,0,1
PID_TUNUPF5,?,?,0,1,1
PID_NDP9SX3,?,?,1,0,1
PID_5W7PNK8,?,?,1,1,1
PID_MKHQAUE,1,2018,0,1,1
PID_L10AOXF,?,?,1,0,1
PID_GHQDP3Z,1,2019,0,1,1
PID_4QJL0IT,?,?,1,0,1
PID_3QK59QG,1,2019,0,1,1
PID_37TMIRD,1,2018,0,1,1
PID_YTR9QEX,?,?,1,1,1
PID_LA4RGA7,1,2019,1,1,1
PID_KQ7HPXE,1,2019,0,1,1
PID_UJYY3AA,1,2019,1,0,1
PID_3I0KC59,?,?,1,1,1
PID_Q5URVBI,?,?,1,1,1
PID_BRFX8OR,1,2018,0,1,1
PID_B9ROXO9,?,?,0,1,1
PID_YZKGNPX,?,?,1,1,1
PID_QCMKF5P,?,?,1,1,1
PID_LNXEXFG,1,2019,1,1,1
PID_5YQD9ZG,?,?,1,0,1
PID_OGORPT7,?,?,1,0,1
PID_QMBFAEQ,?,?,1,1,1
PID_KXUZVXE,1,2018,0,1,1
PID_4UGOYLT,1,2018,0,1,1
PID_PU0SWHM,?,?,1,1,1
PID_RWKVOIA,?,?,0,1,1
PID_UWRP10F,?,?,0,1,1
PID_LOWNZXQ,1,2019,1,1,1
PID_ZFXOT8K,?,?,0,1,1
PID_4QPMXXR,?,?,1,0,1
PID_G1FNPXR,?,?,0,1,1
PID_M3B2IDA,1,2018,0,1,1
PID_DPM31M2,1,2019,1,1,1
PID_BQPVKUH,?,?,1,0,1
PID_8ZKDIO9,?,?,0,1,1
PID_L5OUAAL,?,?,1,0,1
PID_PNC7L7X,1,2019,0,0,1
PID_SE2E86A,?,?,0,1,1
PID_Q5JCDNY,1,2019,1,1,1
PID_M4Z9QS7,1,2019,1,0,1
PID_XLJ1NYO,?,?,1,1,1
PID_OY020CD,?,?,1,1,1
PID_TRRW60S,?,?,1,0,1
PID_NBSG3AE,?,?,1,0,1
PID_MZ0COCM,1,2018,0,1,1
PID_9L33QDH,?,?,1,0,1
PID_ID1ATUJ,1,2019,0,1,1
PID_WMGIHTT,?,?,1,1,1
PID_YYKYUQP,1,2018,0,1,1
PID_I5E06UQ,1,2019,1,0,1
PID_EL0EYK2,?,?,1,0,1
PID_3TY4WTQ,1,2019,1,1,1
PID_HZDDL9X,?,?,1,0,1
PID_OR94CGU,?,?,1,0,1
PID_AVV7K0I,?,?,1,0,1
PID_CI60M1F,?,?,0,1,1
PID_2IWBU0V,?,?,0,1,1
PID_3J0FOR9,?,?,1,0,1
PID_WKKK6KJ,?,?,0,1,1
PID_9WSUGVS,?,?,1,0,1
PID_JVED72P,?,?,0,1,1
PID_ADDPWDU,?,?,1,0,1
PID_U9G6522,1,2017,0,1,1
PID_VPSTT0I,?,?,1,1,1
PID_T00D5U8,1,2018,0,1,1
PID_5TUQLU6,?,?,0,1,1
PID_E5BJ90G,?,?,0,1,1
PID_0KTIBRO,?,?,1,0,1
PID_XN09WP0,?,?,1,0,1
PID_ZOF5MCR,?,?,1,1,1
PID_WALCNSF,1,2018,0,1,1
PID_2KBTCZC,?,?,0,1,1
PID_1A35AHT,?,?,1,1,1
PID_ROIY0LZ,?,?,0,1,1
PID_9KH810E,?,?,0,1,1
PID_TA8U3RE,1,2019,1,1,1
PID_V0GFMPQ,?,?,1,0,1
PID_2PSHCAP,?,?,0,1,1
PID_STBFXI1,1,2018,0,1,1
PID_302U89G,?,?,1,0,1
PID_B8HUZ0T,?,?,1,1,1
PID_DZ29YJ0,?,?,0,1,1
PID_7VSXZHC,?,?,0,1,1
PID_0Q97FRW,1,2018,0,1,1
PID_QWL9TCJ,?,?,1,0,1
PID_IPPZXUA,1,2018,0,1,1
PID_3WDKIBD,?,?,1,0,1
PID_J1UPWHV,?,?,1,0,1
PID_D76U526,1,2019,0,1,1
PID_3DOXJ6V,?,?,1,1,1
PID_EBW5SGF,1,2018,1,1,1
PID_GX3MVXQ,?,?,1,0,1
PID_03UZQHR,?,?,0,1,1
PID_B4U0P4D,1,2019,1,1,1
PID_IKG9UQK,?,?,1,0,1
PID_1NYOFLS,?,?,0,1,1
PID_GU38KXZ,?,?,1,0,1
PID_6R2K1MP,?,?,1,0,1
PID_6K91ZPY,1,2019,1,1,1
PID_82CETRL,1,2018,0,1,1
PID_GHAQ7JU,?,?,1,0,1
PID_VJD4BI7,?,?,1,0,1
PID_4OAYDGX,?,?,1,0,1
PID_447ATVS,?,?,1,1,1
PID_Q0PIACN,?,?,0,1,1
PID_ZNZD9HZ,?,?,0,1,1
PID_PZ7UFUI,1,2019,0,1,1
PID_FRPWKOX,?,?,0,1,1
PID_IJTZB08,?,?,1,0,1
PID_XGO190O,1,2019,0,1,1
PID_40N950Y,?,?,1,0,1
PID_M5R2A23,?,?,0,1,1
PID_334EKPQ,1,2018,0,1,1
PID_8D40LVW,1,2019,0,0,1
PID_052D83W,1,2019,0,1,1
PID_91NJ7EQ,?,?,1,0,1
PID_73VK24I,?,?,1,0,1
PID_UZ3KZJ9,?,?,1,1,1
PID_AHB4N2J,?,?,1,0,1
PID_SDHYFM0,?,?,1,0,1
PID_ARGGNVB,1,2018,0,1,1
PID_H8CHAZ7,?,?,0,1,1
PID_H1Y74XA,?,?,1,1,1
PID_FLVPCIS,1,2019,1,0,1
PID_IBWVWO5,1,2019,0,1,1
PID_HR5ZKZK,1,2018,0,1,1
PID_IC6MDZ0,?,?,1,0,1
